,VTI,VEA,VWO,BND,EMB,QQQ,VNQ
10/28/16,-0.003297313,-0.000547059,-0.005576184,-0.000481127,-0.002437952,-0.006279683,0.002367242
10/31/16,0.000643261,-0.000821089,0.00801066,0.00108308,0.001047419,-0.000939373,0.01628347
11/1/16,-0.007438677,-0.002738934,-0.007417186,-0.000330574,-0.00102081,-0.007521987,-0.02177102
11/2/16,-0.006939304,-0.007415558,-0.01147586,0.000963878,-0.001051549,-0.008009649,-0.01462873
11/3/16,-0.004379029,-0.000553416,-0.00242981,-0.000601866,0.002631606,-0.009810708,-0.007740142
11/4/16,-0.00065506,-0.008305627,-0.01055479,0.001806594,-0.00244975,-0.003507247,0.007928425
11/7/16,0.02209945,0.01367956,0.03391679,-0.001322441,0.008068811,0.02375712,0.01750821
11/8/16,0.004306012,0.00247866,0.004761913,-0.001805724,0.002610018,0.006532034,0.00523698
11/9/16,0.01258892,-0.001648389,-0.02632965,-0.009889047,-0.01483859,0.004611057,-0.01513274
11/10/16,0.003333358,-0.003302117,-0.02893455,-0.004263075,-0.03690657,-0.01614961,-0.01675065
11/11/16,0.000359171,-0.008006651,-0.01837928,-0.001834881,-0.005761819,0.000431992,0.006020254
11/14/16,0.002602938,-0.004453099,-0.004822643,-0.00379899,-0.00505929,-0.01010368,0.02368221
11/15/16,0.007788745,0.006150439,0.01881413,0.001353187,0.01719668,0.01387075,-0.00833331
11/16/16,-0.001421303,-0.009169264,-0.008114183,0.00208843,-0.000636245,0.005937037,-0.002884778
11/17/16,0.00507072,0.006730277,0.00028204,-0.004045628,-0.002091821,0.007270537,-0.01018865
11/18/16,-0.001858795,-0.00891364,-0.002256007,-0.002461804,-0.005650772,-0.003736434,0.002922808
11/21/16,0.00753752,0.008712691,0.009892551,-0.000123422,0.004399664,0.01039892,-0.003041027
11/22/16,0.002904367,0.003064938,0.01091518,0.000863874,0.004380323,0.003036955,0.01753937
11/23/16,0.001404157,-0.003611141,-0.009689881,-0.002589385,-0.007450479,-0.004037034,-0.004246769
11/25/16,0.00385595,0.001951483,0.005311675,0.000370859,0.000640788,0.003208959,0.005770184
11/28/16,-0.005761708,-0.003617063,0.00500557,0.002348028,0.003476396,-0.002272763,0.004614651
11/29/16,0.001404896,0.005584947,0.000553416,0.000739706,-0.001002832,0.003459071,0.009559238
11/30/16,-0.00236742,-0.001388482,0.00165933,-0.003449535,-0.002463992,-0.01210697,-0.01143631
12/1/16,-0.00413079,-0.002502785,-0.01131971,-0.003705132,-0.005530312,-0.01727659,-0.01467845
12/2/16,0,0.002787909,-0.001117032,0.003605631,0.000646589,0.001991822,0.0099735
12/5/16,0.006972032,0.007784231,0.006709473,0.001238831,0.004246276,0.007778752,0.007374954
12/6/16,0.005083276,0.006896552,0.004165552,-0.000123758,0.00487176,0.002401362,0.006452467
12/7/16,0.01238227,0.01315067,0.01493365,0.002351224,0.005854367,0.01266259,0.01997291
12/8/16,0.003617555,0.000811216,0.004632103,-0.001975354,-0.000636592,0.00177424,0.006889879
12/9/16,0.005406839,0.002972186,-0.004610745,-0.002968801,-0.004185996,0.00784347,-0.00108048
12/12/16,-0.002560846,-0.00323273,-0.008174366,-0.00111658,0.002558702,-0.004518836,0.006609819
12/13/16,0.005819429,0.01054052,0.01016481,0.001117828,0.003099116,0.01260928,-0.000477566
12/14/16,-0.009018953,-0.01631454,-0.02882789,-0.0050868,-0.008723368,-0.002075378,-0.0218586
12/15/16,0.004121196,-0.001631255,0.004480533,-0.00149648,-0.001833321,0.001580588,-0.00586147
12/16/16,-0.001539122,0.000272285,-0.006133187,0.000874231,0.002020399,-0.003696537,0.01498579
12/19/16,0.002826084,-0.000816738,-0.006732164,0.002620403,0.004490861,0.004096972,0.0107709
12/20/16,0.004244272,0.002179782,0.001694419,0.000124482,0.001733599,0.003830516,0.002274934
12/21/16,-0.002823666,0,-0.003116165,0.001493314,0.003278993,-0.000746611,-0.01517139
12/22/16,-0.00257425,-0.002718806,-0.009377608,-0.000677599,0.000299561,-0.002822483,-0.001637576
12/23/16,0.001548523,0.002198956,0.004876597,0.00049864,0.001546563,0.000665952,0.002605124
12/27/16,0.002490989,-0.001371345,0.00485304,-0.000747635,-0.000908334,0.005158093,0.002103417
12/28/16,-0.008311209,-0.00192254,0.006249926,0.002493823,0.001363774,-0.007780189,-0.006050103
12/29/16,8.64E-05,0.003577355,0.01552804,0.002736334,0.002360651,-0.001418069,0.01242236
12/30/16,-0.003714905,0.001919377,-0.005282247,0.002108635,-0.001630438,-0.01027479,0.01263802
1/3/17,0.007630916,0.006294459,0.01089993,0.000123804,0.003447625,0.008946637,0.00327159
